timestamp,method,event,user,confidence,second_best_user,second_best_score,reason,detail
2026-06-25 01:16:46,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54636)"
2026-06-25 01:16:59,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54637)"
2026-06-25 01:17:19,voice,GRANTED,ava,0.9118,,-1.0,,2.02,1336.5,auto
2026-06-25 01:18:13,voice,GRANTED,ava,0.9115,,-1.0,,2.02,1282.4,auto
2026-06-25 01:19:14,voice,GRANTED,ava,0.9248,,-1.0,,2.02,1298.5,auto
2026-06-25 01:20:34,server,SHUTDOWN,,0.0,,0.0,,0.0,0.0,
2026-06-25 01:20:34,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54636)"
2026-06-25 01:20:34,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54634)"
2026-06-25 01:20:34,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54637)"
2026-06-25 01:20:34,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54635)"
2026-06-25 01:20:34,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54632)"
2026-06-25 01:20:34,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54633)"
